tweetid,neighourhoodid
'1081399248908967936,001
'1081402847919554560,"088, 087"
'1081418937278050304,008
'1081427587602227200,063
'1081669144809009152,"071, 074"
'1081675599603732483,"129, 131, 132, 130"
'1081682006713487360,132
'1081725508319096832,"071, 098"
'1081727978848030720,027
'1081738171401072640,087
'1081999462267006978,002
'1082002481557786625,127
'1082014075410964481,"004, 005, 076"
'1082014075410964481,124
'1082132933270560768,"108, 109, 107"
'1082134782266478592,136
'1082674058725068800,"067, 068"
'1083068061052272646,017
'1083312344862740480,"078,  001"
'1083313396135706625,"032,  001"
'1083322296671059968,"044,  001"
'1083336069402292224,026
'1083336069402292224,"126, 119, 001"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
